timezone,temp,humidity,description
2025-02-19 05:45:31,0.76,29,clear sky
2025-02-19 05:49:21,0.76,29,clear sky
2025-02-19 05:49:43,0.76,29,clear sky
2025-02-19 05:53:42,0.76,29,clear sky
2025-02-19 06:14:30,0.76,29,clear sky
2025-02-19 06:38:20,1.76,25,clear sky
2025-02-19 06:49:04,1.76,25,clear sky
2025-02-19 06:57:40,1.76,25,clear sky
2025-02-19 07:17:29,1.76,25,clear sky
2025-02-19 07:28:53,0.76,25,clear sky
2025-02-19 07:38:06,0.76,25,clear sky
2025-02-19 07:46:36,0.76,25,clear sky
2025-02-19 07:55:00,0.76,25,clear sky
2025-02-19 08:17:36,0.76,25,clear sky
2025-02-19 08:37:49,0.76,29,clear sky
2025-02-19 08:49:07,0.76,29,clear sky
2025-02-19 08:57:18,0.76,29,clear sky
2025-02-19 09:18:18,-0.22,25,clear sky
2025-02-19 09:31:47,-1.24,29,clear sky
2025-02-19 09:41:01,-1.24,29,clear sky
2025-02-19 09:49:37,-1.24,29,clear sky
2025-02-19 09:57:46,-1.24,29,clear sky
2025-02-19 10:19:23,-2.1,25,clear sky
2025-02-19 10:37:41,-3.24,39,clear sky
2025-02-19 10:46:18,-3.24,39,clear sky
2025-02-19 10:54:52,-3.24,39,clear sky
2025-02-19 11:10:36,-2.72,29,clear sky
2025-02-19 11:23:48,-3.24,43,clear sky
2025-02-19 11:33:08,-3.24,43,clear sky
2025-02-19 11:41:38,-3.24,43,clear sky
2025-02-19 11:50:05,-3.24,43,clear sky
